NORAD,Longitude,COSPAR,SATNAME,COUNTRY,LAUNCH,COMPLIANCE
40887,75.26892267,2015-044A,MUOS 4,US,9/2/15,Yes
28117,75.69700941,2003-057A,UFO 11 (USA 174),US,12/18/03,No
44903,76.01520664,2019-095A,ELEKTRO-L 3,CIS,12/24/19,Yes
38107,76.54336885,2012-013A,APSTAR 7,PRC,3/31/12,Yes
39500,78.48232197,2014-002A,THAICOM 6,THAI,1/6/14,Yes
41552,78.50269369,2016-031A,THAICOM 8,THAI,5/27/16,Yes
45986,80.01985271,2020-053B,EXPRESS 80,CIS,7/30/20,Yes
45344,80.09423335,2020-017A,BEIDOU 3 G2,PRC,3/9/20,Yes
41121,80.28454064,2015-075A,COSMOS 2513,CIS,12/13/15,Yes
53813,81.44897166,2022-112A,CHINASAT 1E,PRC,9/13/22,Yes
55131,81.89953647,2023-002A,SJ-23,PRC,1/8/23,Yes
39216,82.13016853,2013-038B,INSAT 3D,IND,7/25/13,Yes
40880,82.55735264,2015-041A,GSAT 6,IND,8/27/15,Yes
47256,82.9926757,2020-099A,CMS-01,IND,12/17/20,Yes
38779,83.03442816,2012-051B,GSAT 10,IND,9/28/12,Yes
45026,83.06721665,2020-005A,GSAT 30,IND,1/16/20,Yes
52903,83.12475883,2022-067A,CMS-02,IND,6/22/22,Yes
40269,83.1350554,2014-061A,IRNSS 1C,IND,10/15/14,Yes
44637,83.51884097,2019-070A,TJS-4,PRC,10/17/19,Yes
50319,83.76317845,2021-128A,INMARSAT 6-F1,IM,12/22/21,Yes
36358,85.05196531,2010-002A,RADUGA 1M-2,CIS,1/28/10,Yes
36106,85.17667637,2009-067A,INTELSAT 15,ITSO,11/30/09,Yes
33463,86.22189497,2008-066A,FENGYUN 2E,PRC,12/23/08,Yes
37749,86.49466261,2011-035B,KAZSAT 2,KAZ,7/15/11,Yes
39017,87.53467541,2012-067A,CHINASAT 12,PRC,11/27/12,Yes
37606,88.04121406,2011-022B,ST 2,STCT,5/20/11,Yes
38070,88.40976303,2012-003A,WGS F4 (USA 233),US,1/20/12,No
26388,89.41375204,2000-034A,TDRS 8,US,6/30/00,Yes
40345,89.94793337,2014-082A,YAMAL 401,CIS,12/15/14,Yes
49818,90.41715918,2021-118B,LDPE-1,US,12/7/21,Yes
47202,90.79773822,2020-089A,LUCAS (JDRS-1),JPN,11/29/20,Yes
40147,91.49323458,2014-054B,MEASAT 3B,MALA,9/11/14,Yes
52904,91.52404822,2022-067B,MEASAT 3D,MALA,6/22/22,Yes
35362,91.53350893,2009-032A,MEASAT 3A,MALA,6/21/09,Yes
33051,92.17660523,2008-028A,CHINASAT 9,PRC,6/9/08,Yes
56372,93.25474552,2023-060C,GS-1,US,5/1/23,Yes
42815,93.49358398,2017-040B,GSAT 17,IND,6/28/17,Yes
41028,93.55869368,2015-065A,GSAT 15,IND,11/10/15,Yes
43488,95.00165078,2018-049A,SES-12,SES,6/4/18,Yes
39460,95.03437271,2013-071A,SES 8,SES,12/3/13,Yes
45985,96.51425987,2020-053A,OBJECT A,CIS,7/30/20,Yes
42695,97.24502329,2017-024A,GSAT 9,IND,5/5/17,Yes
39157,97.89462519,2013-020A,CHINASAT 11,PRC,5/1/13,Yes
49062,98.00751279,2021-071A,CHINASAT 2E,PRC,8/5/21,Yes
38352,98.28754419,2012-028A,CHINASAT 2A,PRC,5/26/12,Yes
32404,98.60872085,2008-001A,THURAYA 3,UAE,1/15/08,Yes
35696,100.525831,2009-042A,ASIASAT 5,AC,8/11/09,Yes
49125,101.430033,2021-080A,CHINASAT 9B,PRC,9/9/21,Yes
50002,102.9065397,2021-123B,EXPRESS AMU-3,CIS,12/13/21,Yes
41021,103.4522638,2015-063A,CHINASAT 2C,PRC,11/3/15,Yes
37948,103.7420772,2011-073A,BEIDOU 10,PRC,12/1/11,No
41882,104.6345142,2016-077A,FENGYUN 4A,PRC,12/10/16,Yes
37933,105.5011416,2011-069A,ASIASAT 7,AC,11/25/11,Yes
